scheme,dataset,size_bytes,trial,p_sub,p_ins,p_del,replication,success,byte_accuracy,chunk_recovery,recovered_bytes,expected_chunks,recovered_chunks,total_bases,effective_bits_per_base,overhead,input_sha256,output_sha256,failures
s3,random,1048576,25,0.005,0.005,0.005,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,26,0.005,0.005,0.005,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,27,0.005,0.005,0.005,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,28,0.005,0.005,0.005,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,29,0.005,0.005,0.005,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,30,0.005,0.005,0.005,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,31,0.005,0.005,0.005,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,32,0.005,0.005,0.005,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,33,0.005,0.005,0.005,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,34,0.005,0.005,0.005,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,35,0.005,0.005,0.005,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,36,0.005,0.005,0.005,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,37,0.005,0.005,0.005,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,38,0.005,0.005,0.005,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,39,0.005,0.005,0.005,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,40,0.005,0.005,0.005,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,41,0.005,0.005,0.005,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,42,0.005,0.005,0.005,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,43,0.005,0.005,0.005,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,44,0.005,0.005,0.005,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,45,0.005,0.005,0.005,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,46,0.005,0.005,0.005,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,47,0.005,0.005,0.005,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,48,0.005,0.005,0.005,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,49,0.005,0.005,0.005,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,0,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,1,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,2,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,3,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,4,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,5,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,6,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,7,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,8,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,9,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,10,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,11,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,12,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,13,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,14,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,15,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,16,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,17,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,18,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,19,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,20,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,21,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,22,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,23,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,24,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,25,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,26,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,27,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,28,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,29,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,30,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,31,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,32,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,33,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,34,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,35,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,36,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,37,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,38,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,39,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,40,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,41,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,42,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,43,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,44,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,45,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,46,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,47,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,48,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,49,0.005,0.01,0.01,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,0,0.01,0.0,0.0,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,1,0.01,0.0,0.0,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,2,0.01,0.0,0.0,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,3,0.01,0.0,0.0,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,4,0.01,0.0,0.0,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,5,0.01,0.0,0.0,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,6,0.01,0.0,0.0,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,7,0.01,0.0,0.0,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,8,0.01,0.0,0.0,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,9,0.01,0.0,0.0,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,10,0.01,0.0,0.0,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,11,0.01,0.0,0.0,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,12,0.01,0.0,0.0,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,13,0.01,0.0,0.0,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,14,0.01,0.0,0.0,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,15,0.01,0.0,0.0,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,16,0.01,0.0,0.0,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,17,0.01,0.0,0.0,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,18,0.01,0.0,0.0,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,19,0.01,0.0,0.0,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,20,0.01,0.0,0.0,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,21,0.01,0.0,0.0,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
s3,random,1048576,22,0.01,0.0,0.0,2,0,0.0,0.0,0,1024,0,18563072,0.0,4.42578125,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2048
